resuming: 2 instance(s) already graded
[132/298] matplotlib__matplotlib-24265 no (51.1G free)
[133/298] matplotlib__matplotlib-24149 RESOLVED (54.9G free)
[134/298] matplotlib__matplotlib-25311 RESOLVED (49.8G free)
[135/298] matplotlib__matplotlib-25332 no (51.6G free)
[136/298] matplotlib__matplotlib-24334 no (56.2G free)
[137/298] matplotlib__matplotlib-25498 no (57.2G free)
[138/298] matplotlib__matplotlib-25442 no (61.9G free)
    pulling swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-26011:latest
[139/298] matplotlib__matplotlib-25433 no (57.7G free)
[140/298] mwaskom__seaborn-3190 no (56.3G free)
[141/298] matplotlib__matplotlib-26020 no (62.8G free)
[142/298] mwaskom__seaborn-3010 RESOLVED (64.0G free)
[143/298] pallets__flask-4992 no (63.3G free)
[144/298] pallets__flask-4045 no (64.2G free)
[145/298] pallets__flask-5063 no (64.6G free)
[146/298] psf__requests-1963 no (69.1G free)
[147/298] matplotlib__matplotlib-26011 no (75.4G free)
[148/298] mwaskom__seaborn-2848 no (77.1G free)
[149/298] psf__requests-3362 no (74.0G free)
[150/298] psf__requests-2148 no (75.0G free)
[151/298] psf__requests-2674 no (75.9G free)
[152/298] psf__requests-863 no (73.4G free)
[153/298] pydata__xarray-4248 no (71.6G free)
[154/298] mwaskom__seaborn-3407 no (70.6G free)
[155/298] pydata__xarray-4094 no (74.6G free)
[156/298] pydata__xarray-3364 no (70.0G free)
[157/298] pydata__xarray-5131 RESOLVED (74.1G free)
[158/298] pydata__xarray-4493 no (78.7G free)
[159/298] pylint-dev__pylint-5859 no (77.3G free)
[160/298] pylint-dev__pylint-6506 no (78.6G free)
[161/298] pylint-dev__pylint-7114 no (77.0G free)
[162/298] pylint-dev__pylint-7228 no (78.3G free)
[163/298] pylint-dev__pylint-7080 no (78.7G free)
[164/298] pylint-dev__pylint-7993 no (79.9G free)
    pulling swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-11148:latest
[165/298] pytest-dev__pytest-11143 RESOLVED (81.5G free)
[166/298] pytest-dev__pytest-11148 no (77.9G free)
[167/298] pytest-dev__pytest-5221 no (80.6G free)
[168/298] pytest-dev__pytest-5103 no (82.0G free)
[169/298] pytest-dev__pytest-5413 no (78.3G free)
[170/298] pytest-dev__pytest-5692 RESOLVED (79.4G free)
[171/298] pytest-dev__pytest-5495 no (81.8G free)
[172/298] pytest-dev__pytest-6116 no (78.9G free)
[173/298] pytest-dev__pytest-5227 RESOLVED (81.0G free)
[174/298] pytest-dev__pytest-7220 no (83.1G free)
[175/298] pytest-dev__pytest-7432 no (79.2G free)
[176/298] pytest-dev__pytest-8365 no (81.4G free)
[177/298] pytest-dev__pytest-7373 no (81.8G free)
[178/298] pytest-dev__pytest-7490 RESOLVED (82.1G free)
[179/298] pytest-dev__pytest-7168 no (82.4G free)
[180/298] pytest-dev__pytest-9359 no (82.4G free)
[181/298] scikit-learn__scikit-learn-10508 no (80.0G free)
[182/298] scikit-learn__scikit-learn-10297 RESOLVED (82.6G free)
[183/298] scikit-learn__scikit-learn-12471 no (82.8G free)
[184/298] pytest-dev__pytest-8906 no (79.8G free)
[185/298] scikit-learn__scikit-learn-11040 no (82.7G free)
    pulling swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-13142:latest
[186/298] scikit-learn__scikit-learn-10949 no (80.8G free)
    pulling swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-13439:latest
[187/298] scikit-learn__scikit-learn-13142 no (82.1G free)
[188/298] scikit-learn__scikit-learn-13439 RESOLVED (80.7G free)
[189/298] scikit-learn__scikit-learn-13241 no (82.4G free)
[190/298] scikit-learn__scikit-learn-13497 no (82.6G free)
[191/298] scikit-learn__scikit-learn-11281 no (82.2G free)
[192/298] scikit-learn__scikit-learn-13496 RESOLVED (84.1G free)
[193/298] scikit-learn__scikit-learn-13779 no (84.2G free)
[194/298] scikit-learn__scikit-learn-13584 RESOLVED (84.4G free)
[195/298] scikit-learn__scikit-learn-14087 no (82.5G free)
[196/298] scikit-learn__scikit-learn-14092 no (85.5G free)
[197/298] scikit-learn__scikit-learn-14894 RESOLVED (82.8G free)
[198/298] scikit-learn__scikit-learn-14983 no (86.3G free)
[199/298] scikit-learn__scikit-learn-15535 RESOLVED (83.8G free)
[200/298] scikit-learn__scikit-learn-15512 RESOLVED (87.3G free)
[201/298] scikit-learn__scikit-learn-25500 no (83.9G free)
[202/298] scikit-learn__scikit-learn-25747 no (88.6G free)
[203/298] sphinx-doc__sphinx-11445 no (88.6G free)
    pulling swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-10451:latest
[204/298] sphinx-doc__sphinx-10325 no (87.1G free)
[205/298] sphinx-doc__sphinx-10451 no (88.0G free)
[206/298] sphinx-doc__sphinx-7738 no (85.2G free)
[207/298] scikit-learn__scikit-learn-25638 no (87.3G free)
[208/298] sphinx-doc__sphinx-7975 no (87.4G free)
[209/298] sphinx-doc__sphinx-7686 no (88.7G free)
[210/298] sphinx-doc__sphinx-8282 no (85.8G free)
[211/298] scikit-learn__scikit-learn-25570 no (89.9G free)
[212/298] sphinx-doc__sphinx-8273 no (90.0G free)
[213/298] sphinx-doc__sphinx-8506 no (90.2G free)
[214/298] sphinx-doc__sphinx-8435 no (90.3G free)
[215/298] sphinx-doc__sphinx-8595 no (90.7G free)
    pulling swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-8721:latest
[216/298] sphinx-doc__sphinx-8713 RESOLVED (91.1G free)
[217/298] sphinx-doc__sphinx-8474 no (91.3G free)
[218/298] sphinx-doc__sphinx-8721 no (89.9G free)
[219/298] sympy__sympy-11400 no (92.5G free)
[220/298] sphinx-doc__sphinx-8801 no (90.4G free)
    pulling swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-8627:latest
[221/298] psf__requests-2317 no (93.0G free)
[222/298] sphinx-doc__sphinx-8627 no (92.7G free)
[223/298] sympy__sympy-11897 no (93.4G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-12236:latest
[224/298] sympy__sympy-12171 no (90.8G free)
[225/298] sympy__sympy-12236 no (91.1G free)
[226/298] sympy__sympy-12419 no (93.1G free)
[227/298] sympy__sympy-12481 no (91.2G free)
[228/298] sympy__sympy-12454 no (92.4G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-13146:latest
[229/298] sympy__sympy-13043 no (92.8G free)
[230/298] sympy__sympy-13146 no (91.6G free)
[231/298] sympy__sympy-13177 no (93.5G free)
[232/298] sympy__sympy-13437 no (91.9G free)
[233/298] sympy__sympy-13471 no (94.5G free)
[234/298] sympy__sympy-13480 RESOLVED (92.2G free)
[235/298] sympy__sympy-13647 no (94.6G free)
[236/298] sympy__sympy-13895 no (94.7G free)
[237/298] sympy__sympy-13773 no (95.1G free)
[238/298] sympy__sympy-13031 RESOLVED (93.5G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-13971:latest
[239/298] sympy__sympy-13915 no (96.2G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-14308:latest
[240/298] sympy__sympy-13971 no (93.5G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-14024:latest
[241/298] sympy__sympy-14308 no (95.8G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-14317:latest
[242/298] sympy__sympy-14024 no (93.8G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-14396:latest
[243/298] sympy__sympy-14317 no (95.5G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-14774:latest
[244/298] sympy__sympy-14396 no (94.4G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-14817:latest
[245/298] sympy__sympy-14774 RESOLVED (95.3G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-15011:latest
[246/298] sympy__sympy-14817 no (93.8G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-15308:latest
[247/298] sympy__sympy-15011 no (95.3G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-15345:latest
[248/298] sympy__sympy-15308 no (94.0G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-15346:latest
[249/298] sympy__sympy-15345 no (94.6G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-15609:latest
[250/298] sympy__sympy-15609 no (93.5G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-15678:latest
[251/298] sympy__sympy-15346 no (95.9G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-16106:latest
[252/298] sympy__sympy-15678 no (90.4G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-16281:latest
[253/298] sympy__sympy-16106 no (92.3G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-16503:latest
[254/298] sympy__sympy-16281 no (87.5G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-16988:latest
[255/298] sympy__sympy-16503 no (90.0G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-16792:latest
[256/298] sympy__sympy-16792 no (87.4G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-17022:latest
[257/298] sympy__sympy-17022 no (87.3G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-17139:latest
[258/298] sympy__sympy-16988 no (86.4G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-17630:latest
[259/298] sympy__sympy-17630 no (86.0G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-18057:latest
[260/298] sympy__sympy-11870 no (88.7G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-17655:latest
[261/298] sympy__sympy-18057 no (89.5G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-18189:latest
[262/298] sympy__sympy-17655 no (86.6G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-18199:latest
[263/298] sympy__sympy-17139 no (87.7G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-18532:latest
[264/298] sympy__sympy-18189 no (89.8G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-18621:latest
[265/298] sympy__sympy-18532 no (85.6G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-18698:latest
[266/298] sympy__sympy-18621 no (89.1G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-18835:latest
[267/298] sympy__sympy-18698 no (85.6G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-19254:latest
[268/298] sympy__sympy-18835 no (89.0G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-18087:latest
[269/298] sympy__sympy-18199 no (90.6G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-19487:latest
[270/298] sympy__sympy-19254 no (87.5G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-20049:latest
[271/298] sympy__sympy-19487 no (87.5G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-20212:latest
[272/298] sympy__sympy-18087 no (89.2G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-20154:latest
[273/298] sympy__sympy-20049 no (90.3G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-19007:latest
[274/298] sympy__sympy-20154 RESOLVED (86.4G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-20322:latest
[275/298] sympy__sympy-19007 no (90.0G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-20442:latest
[276/298] sympy__sympy-20212 no (91.5G free)
[277/298] sympy__sympy-20590 no (91.5G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-20639:latest
[278/298] sympy__sympy-20322 no (87.5G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-21171:latest
[279/298] sympy__sympy-20442 RESOLVED (88.7G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-21055:latest
[280/298] sympy__sympy-20639 no (90.1G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-21612:latest
[281/298] sympy__sympy-21171 no (88.4G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-21379:latest
[282/298] sympy__sympy-21055 no (89.2G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-21614:latest
[283/298] sympy__sympy-21612 no (88.3G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-21627:latest
[284/298] sympy__sympy-21614 no (88.5G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-21847:latest
[285/298] sympy__sympy-21379 no (90.5G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-22005:latest
[286/298] sympy__sympy-21627 no (88.4G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-22714:latest
[287/298] sympy__sympy-21847 RESOLVED (86.9G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-23117:latest
[288/298] sympy__sympy-22005 no (88.9G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-22840:latest
[289/298] sympy__sympy-22714 no (88.4G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-23191:latest
[290/298] sympy__sympy-23117 no (88.7G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-23262:latest
[291/298] sympy__sympy-22840 no (87.6G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-24066:latest
[292/298] sympy__sympy-23191 no (90.3G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-24102:latest
[293/298] sympy__sympy-23262 no (87.4G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-24152:latest
[294/298] sympy__sympy-24066 no (89.6G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-24213:latest
[295/298] sympy__sympy-24102 no (89.0G free)
    pulling swebench/sweb.eval.x86_64.sympy_1776_sympy-24909:latest
[296/298] sympy__sympy-24152 RESOLVED (89.4G free)
[297/298] sympy__sympy-24213 RESOLVED (89.1G free)
[298/298] sympy__sympy-24909 no (92.7G free)

65/300 resolved in 5715s
  report : /home/xiaoyu/JacAgentComparison/CodeAgent/swebench_bridge/results/lite-01-langgraph/langgraph-codeagent__gpt-4o.lite-01-langgraph.json
  ledger : /home/xiaoyu/JacAgentComparison/CodeAgent/swebench_bridge/results/lite-01-langgraph/eval_results.jsonl
