instance_id,repo,resolved_by,diverged,byllm_status,langgraph_status,byllm_patch_bytes,langgraph_patch_bytes,byllm_run_error,langgraph_run_error,gold_patch_bytes,f2p,p2p
django__django-13710,django/django,langgraph,True,TESTS_FAIL,RESOLVED,622,733,,,900,1,62
django__django-13757,django/django,langgraph,True,TESTS_FAIL,RESOLVED,1415,1423,,,1438,1,76
django__django-13768,django/django,,False,TESTS_FAIL,TESTS_FAIL,909,744,,,1018,1,18
django__django-13925,django/django,byllm,True,RESOLVED,TESTS_FAIL,554,614,timeout,,630,2,24
django__django-13933,django/django,langgraph,True,TESTS_FAIL,RESOLVED,635,1599,,,687,1,19
django__django-13964,django/django,,False,TESTS_FAIL,TESTS_FAIL,1822,909,timeout,,696,1,36
django__django-14016,django/django,,False,TESTS_FAIL,TESTS_FAIL,489,737,,,943,2,13
django__django-14017,django/django,byllm,True,RESOLVED,TESTS_FAIL,1539,468,,,624,2,147
django__django-14155,django/django,,False,TESTS_FAIL,TESTS_FAIL,910,1552,,,949,3,89
django__django-14238,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,651,671,,,627,2,39
django__django-14382,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,708,708,,,841,1,188
django__django-14411,django/django,,False,TESTS_FAIL,TESTS_FAIL,1482,521,,,415,1,83
django__django-14534,django/django,,False,TESTS_FAIL,TESTS_FAIL,470,470,,,386,2,118
django__django-14580,django/django,,False,TESTS_FAIL,TESTS_FAIL,1110,1334,,,535,1,49
django__django-14608,django/django,langgraph,True,TESTS_FAIL,RESOLVED,1218,440,,,881,4,394
django__django-14667,django/django,,False,TESTS_FAIL,TESTS_FAIL,1528,429,,,849,1,29
django__django-14672,django/django,byllm,True,RESOLVED,TESTS_FAIL,512,506,,,511,168,0
django__django-14730,django/django,,False,TESTS_FAIL,TESTS_FAIL,2271,713,,,744,1,119
django__django-14752,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,1022,1070,,,1465,1,15
django__django-14787,django/django,,False,TESTS_FAIL,TESTS_FAIL,727,1040,,,685,1,20
django__django-14855,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,630,630,,,687,1,325
django__django-14915,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,402,412,,,416,1,23
django__django-14997,django/django,,False,TESTS_FAIL,TESTS_FAIL,637,771,,,818,3,144
django__django-14999,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,888,906,,,1226,1,113
django__django-15061,django/django,,False,TESTS_FAIL,TESTS_FAIL,2525,460,,,402,3,14
django__django-15202,django/django,,False,TESTS_FAIL,TESTS_FAIL,644,778,,,2029,2,6
django__django-15213,django/django,,False,TESTS_FAIL,TESTS_FAIL,640,640,,,823,3,71
django__django-15252,django/django,,False,TESTS_FAIL,TESTS_FAIL,1610,875,,,850,2,34
django__django-15320,django/django,,False,TESTS_FAIL,TESTS_FAIL,1060,528,,,585,1,160
django__django-15347,django/django,byllm,True,RESOLVED,TESTS_FAIL,1345,1188,,,659,1,29
django__django-15388,django/django,,False,EMPTY_PATCH,TESTS_FAIL,0,663,,,520,1,9
django__django-15400,django/django,,False,TESTS_FAIL,TESTS_FAIL,483,588,,,446,2,62
django__django-15498,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,524,1102,timeout,,770,1,25
django__django-15695,django/django,,False,TESTS_FAIL,SUITE_ERROR,4303,3880,,,737,1,123
django__django-15738,django/django,,False,EMPTY_PATCH,TESTS_FAIL,0,2689,,,823,2,139
django__django-15781,django/django,,False,TESTS_FAIL,TESTS_FAIL,542,643,timeout,,817,1,43
django__django-15789,django/django,langgraph,True,SUITE_ERROR,RESOLVED,2621,1907,,,907,1,17
django__django-15790,django/django,langgraph,True,TESTS_FAIL,RESOLVED,990,945,,,1371,1,12
django__django-15814,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,705,705,,,598,1,29
django__django-15819,django/django,,False,TESTS_FAIL,TESTS_FAIL,1835,1292,,,1783,1,18
django__django-15851,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,1139,530,,,514,1,8
django__django-15902,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,452,1142,,,461,1,112
django__django-15996,django/django,,False,TESTS_FAIL,TESTS_FAIL,1062,832,,,1320,1,51
django__django-16041,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,576,576,,,851,2,113
django__django-16046,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,454,454,,,525,1,6
django__django-16139,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,703,703,,,697,1,86
django__django-16229,django/django,,False,SUITE_ERROR,TESTS_FAIL,1050,635,timeout,,914,1,21
django__django-16255,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,524,524,,,539,1,36
django__django-16379,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,629,629,,,586,2,362
django__django-16400,django/django,,False,SUITE_ERROR,SUITE_ERROR,705,6412,,,954,1,63
django__django-16408,django/django,,False,EMPTY_PATCH,TESTS_FAIL,0,1220,,,1166,2,18
django__django-16527,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,549,549,,,581,1,6
django__django-16595,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,541,759,,,712,1,37
django__django-16816,django/django,,False,TESTS_FAIL,TESTS_FAIL,1214,497,,,793,2,123
django__django-16820,django/django,,False,TESTS_FAIL,TESTS_FAIL,925,939,,,3071,7,203
django__django-16873,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,649,592,,,693,2,12
django__django-16910,django/django,,False,TESTS_FAIL,TESTS_FAIL,1776,998,,,940,2,36
django__django-17051,django/django,,False,TESTS_FAIL,TESTS_FAIL,672,661,,,1011,5,39
django__django-17087,django/django,,False,TESTS_FAIL,TESTS_FAIL,549,4283,,,555,1,53
matplotlib__matplotlib-18869,matplotlib/matplotlib,,False,TESTS_FAIL,EMPTY_PATCH,1134,0,,,3247,4,3
matplotlib__matplotlib-22711,matplotlib/matplotlib,,False,TESTS_FAIL,TESTS_FAIL,634,507,,,2068,2,91
matplotlib__matplotlib-22835,matplotlib/matplotlib,,False,SUITE_ERROR,TESTS_FAIL,812,954,,,1630,1,24
matplotlib__matplotlib-23299,matplotlib/matplotlib,,False,TESTS_FAIL,TESTS_FAIL,430,2245,,,646,1,192
matplotlib__matplotlib-23314,matplotlib/matplotlib,byllm,True,RESOLVED,SUITE_ERROR,1499,121727,,api-400,421,1,862
matplotlib__matplotlib-23476,matplotlib/matplotlib,,False,TESTS_FAIL,TESTS_FAIL,604,626,,,519,1,104
matplotlib__matplotlib-23562,matplotlib/matplotlib,,False,TESTS_FAIL,TESTS_FAIL,484,434,,,849,2,136
matplotlib__matplotlib-23563,matplotlib/matplotlib,,False,TESTS_FAIL,TESTS_FAIL,575,491,,,526,1,136
matplotlib__matplotlib-23913,matplotlib/matplotlib,byllm+langgraph,False,RESOLVED,RESOLVED,717,811,,,1201,2,101
matplotlib__matplotlib-23964,matplotlib/matplotlib,byllm+langgraph,False,RESOLVED,RESOLVED,533,579,,,648,1,16
matplotlib__matplotlib-23987,matplotlib/matplotlib,,False,TESTS_FAIL,TESTS_FAIL,680,1970,,,786,1,43
matplotlib__matplotlib-24149,matplotlib/matplotlib,byllm+langgraph,False,RESOLVED,RESOLVED,561,561,,,972,1,767
matplotlib__matplotlib-24265,matplotlib/matplotlib,,False,TESTS_FAIL,EMPTY_PATCH,1840,0,,,3498,1,16
matplotlib__matplotlib-24334,matplotlib/matplotlib,,False,TESTS_FAIL,TESTS_FAIL,633,1076,,,633,1,770
matplotlib__matplotlib-24970,matplotlib/matplotlib,langgraph,True,TESTS_FAIL,RESOLVED,1228,757,,,1598,1,253
matplotlib__matplotlib-25079,matplotlib/matplotlib,,False,TESTS_FAIL,TESTS_FAIL,795,2173,,,707,1,253
matplotlib__matplotlib-25311,matplotlib/matplotlib,langgraph,True,TESTS_FAIL,RESOLVED,8500,664,,,924,1,181
matplotlib__matplotlib-25332,matplotlib/matplotlib,,False,SUITE_ERROR,REGRESSION(P2P),76517,2615,,,824,1,181
matplotlib__matplotlib-25433,matplotlib/matplotlib,,False,TESTS_FAIL,TESTS_FAIL,856,569,,,433,1,55
matplotlib__matplotlib-25442,matplotlib/matplotlib,,False,TESTS_FAIL,TESTS_FAIL,571,1131,,,2513,1,275
matplotlib__matplotlib-25498,matplotlib/matplotlib,,False,TESTS_FAIL,EMPTY_PATCH,751,0,,,1102,1,69
matplotlib__matplotlib-26011,matplotlib/matplotlib,,False,EMPTY_PATCH,TESTS_FAIL,0,718,,,1054,1,817
matplotlib__matplotlib-26020,matplotlib/matplotlib,byllm,True,RESOLVED,TESTS_FAIL,835,776,,,1137,1,48
mwaskom__seaborn-2848,mwaskom/seaborn,,False,TESTS_FAIL,TESTS_FAIL,3288,511,,,767,1,50
mwaskom__seaborn-3010,mwaskom/seaborn,byllm+langgraph,False,RESOLVED,RESOLVED,1011,454,,,444,1,2
mwaskom__seaborn-3190,mwaskom/seaborn,,False,TESTS_FAIL,TESTS_FAIL,632,506,,,476,1,84
mwaskom__seaborn-3407,mwaskom/seaborn,,False,TESTS_FAIL,TESTS_FAIL,820,1531,,,583,1,120
pallets__flask-4045,pallets/flask,,False,TESTS_FAIL,TESTS_FAIL,1620,515,,,1449,2,50
pallets__flask-4992,pallets/flask,,False,TESTS_FAIL,TESTS_FAIL,806,805,,,1664,1,18
pallets__flask-5063,pallets/flask,,False,TESTS_FAIL,TESTS_FAIL,1748,2638,,,3443,2,54
psf__requests-1963,psf/requests,,False,TESTS_FAIL,TESTS_FAIL,6884,438,,,566,7,112
psf__requests-2148,psf/requests,,False,TESTS_FAIL,TESTS_FAIL,884,1274,,,1059,10,118
psf__requests-2317,psf/requests,byllm,True,RESOLVED,TESTS_FAIL,1377,1377,timeout,timeout,763,8,133
psf__requests-2674,psf/requests,,False,REGRESSION(P2P),TESTS_FAIL,2704,544,,,893,12,142
psf__requests-3362,psf/requests,,False,TESTS_FAIL,TESTS_FAIL,963,951,,,1012,1,75
psf__requests-863,psf/requests,byllm,True,RESOLVED,TESTS_FAIL,1166,1027,,,525,4,60
pydata__xarray-3364,pydata/xarray,,False,TESTS_FAIL,TESTS_FAIL,2156,2368,,,818,2,110
pydata__xarray-4094,pydata/xarray,,False,TESTS_FAIL,TESTS_FAIL,707,548,,,517,1,862
pydata__xarray-4248,pydata/xarray,,False,TESTS_FAIL,TESTS_FAIL,3264,1574,,,578,1,18
pydata__xarray-4493,pydata/xarray,,False,TESTS_FAIL,TESTS_FAIL,535,1447,,,844,1,1689
pydata__xarray-5131,pydata/xarray,byllm+langgraph,False,RESOLVED,RESOLVED,1572,1572,,,524,10,24
pylint-dev__pylint-5859,pylint-dev/pylint,byllm,True,RESOLVED,TESTS_FAIL,1999,500,,,612,1,10
pylint-dev__pylint-6506,pylint-dev/pylint,,False,TESTS_FAIL,TESTS_FAIL,1306,1386,,,683,2,6
pylint-dev__pylint-7080,pylint-dev/pylint,,False,TESTS_FAIL,TESTS_FAIL,1463,527,,,417,1,120
pylint-dev__pylint-7114,pylint-dev/pylint,,False,TESTS_FAIL,TESTS_FAIL,530,728,,,1275,1,56
pylint-dev__pylint-7228,pylint-dev/pylint,,False,TESTS_FAIL,TESTS_FAIL,820,1074,timeout,,1316,2,10
pylint-dev__pylint-7993,pylint-dev/pylint,,False,TESTS_FAIL,TESTS_FAIL,844,587,,,592,1,10
pytest-dev__pytest-11143,pytest-dev/pytest,byllm+langgraph,False,RESOLVED,RESOLVED,675,622,,,521,1,114
pytest-dev__pytest-11148,pytest-dev/pytest,,False,EMPTY_PATCH,SUITE_ERROR,0,688,,,467,2,129
pytest-dev__pytest-5103,pytest-dev/pytest,,False,SUITE_ERROR,TESTS_FAIL,1326,1746,,,1991,1,64
pytest-dev__pytest-5221,pytest-dev/pytest,,False,TESTS_FAIL,TESTS_FAIL,726,540,,,1005,2,170
pytest-dev__pytest-5227,pytest-dev/pytest,byllm+langgraph,False,RESOLVED,RESOLVED,514,514,,,431,3,34
pytest-dev__pytest-5413,pytest-dev/pytest,,False,TESTS_FAIL,TESTS_FAIL,502,553,,,569,1,92
pytest-dev__pytest-5495,pytest-dev/pytest,,False,TESTS_FAIL,TESTS_FAIL,678,1448,,,1657,2,86
pytest-dev__pytest-5692,pytest-dev/pytest,langgraph,True,SUITE_ERROR,RESOLVED,912,649,,,675,2,68
pytest-dev__pytest-6116,pytest-dev/pytest,,False,TESTS_FAIL,TESTS_FAIL,441,401,,,344,2,69
pytest-dev__pytest-7168,pytest-dev/pytest,,False,TESTS_FAIL,TESTS_FAIL,462,586,,,512,11,0
pytest-dev__pytest-7220,pytest-dev/pytest,,False,TESTS_FAIL,TESTS_FAIL,771,760,,,1139,1,11
pytest-dev__pytest-7373,pytest-dev/pytest,byllm,True,RESOLVED,SUITE_ERROR,753,1285,,,1486,1,81
pytest-dev__pytest-7432,pytest-dev/pytest,byllm,True,RESOLVED,TESTS_FAIL,888,796,,,456,1,77
pytest-dev__pytest-7490,pytest-dev/pytest,langgraph,True,TESTS_FAIL,RESOLVED,1109,485,,,1711,2,78
pytest-dev__pytest-8365,pytest-dev/pytest,,False,TESTS_FAIL,TESTS_FAIL,492,389,,,846,1,32
pytest-dev__pytest-8906,pytest-dev/pytest,,False,TESTS_FAIL,TESTS_FAIL,1557,1352,,,977,1,84
pytest-dev__pytest-9359,pytest-dev/pytest,,False,TESTS_FAIL,TESTS_FAIL,562,537,,,907,1,54
scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,byllm+langgraph,False,RESOLVED,RESOLVED,1563,912,,,3739,1,28
scikit-learn__scikit-learn-10508,scikit-learn/scikit-learn,,False,TESTS_FAIL,TESTS_FAIL,591,518,,,924,2,18
scikit-learn__scikit-learn-10949,scikit-learn/scikit-learn,,False,TESTS_FAIL,TESTS_FAIL,2501,1455,,,1521,1,42
scikit-learn__scikit-learn-11040,scikit-learn/scikit-learn,,False,TESTS_FAIL,SUITE_ERROR,1349,1786,,,1251,1,44
scikit-learn__scikit-learn-11281,scikit-learn/scikit-learn,,False,TESTS_FAIL,TESTS_FAIL,1790,41477,,,2092,2,43
scikit-learn__scikit-learn-12471,scikit-learn/scikit-learn,,False,TESTS_FAIL,EMPTY_PATCH,701,0,,,1023,1,53
scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,,False,EMPTY_PATCH,TESTS_FAIL,0,515,,,1155,2,54
scikit-learn__scikit-learn-13241,scikit-learn/scikit-learn,byllm,True,RESOLVED,REGRESSION(P2P),606,702,,,995,1,54
scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,langgraph,True,EMPTY_PATCH,RESOLVED,0,525,infra(container),,502,1,40
scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,byllm+langgraph,False,RESOLVED,RESOLVED,1134,2111,,,1285,1,19
scikit-learn__scikit-learn-13497,scikit-learn/scikit-learn,,False,TESTS_FAIL,EMPTY_PATCH,641,0,,infra(container),1542,1,7
scikit-learn__scikit-learn-13584,scikit-learn/scikit-learn,byllm+langgraph,False,RESOLVED,RESOLVED,847,1011,,,567,6,3
scikit-learn__scikit-learn-13779,scikit-learn/scikit-learn,,False,REGRESSION(P2P),EMPTY_PATCH,3179,0,,,563,2,18
scikit-learn__scikit-learn-14087,scikit-learn/scikit-learn,,False,TESTS_FAIL,TESTS_FAIL,759,765,,,1392,3,172
scikit-learn__scikit-learn-14092,scikit-learn/scikit-learn,,False,TESTS_FAIL,TESTS_FAIL,1687,1064,,,1405,3,212
scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,langgraph,True,TESTS_FAIL,RESOLVED,650,1175,,,1050,1,85
scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,,False,TESTS_FAIL,TESTS_FAIL,519,787,,,927,2,105
scikit-learn__scikit-learn-15512,scikit-learn/scikit-learn,langgraph,True,TESTS_FAIL,RESOLVED,732,1925,,,1348,1,9
scikit-learn__scikit-learn-15535,scikit-learn/scikit-learn,byllm+langgraph,False,RESOLVED,RESOLVED,690,690,,,658,8,52
scikit-learn__scikit-learn-25500,scikit-learn/scikit-learn,,False,TESTS_FAIL,TESTS_FAIL,595,587,timeout,,2193,1,45
scikit-learn__scikit-learn-25570,scikit-learn/scikit-learn,,False,TESTS_FAIL,TESTS_FAIL,1719,2951,,,793,3,184
scikit-learn__scikit-learn-25638,scikit-learn/scikit-learn,,False,TESTS_FAIL,TESTS_FAIL,2658,691,,,2645,10,194
scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,,False,TESTS_FAIL,TESTS_FAIL,601,601,timeout,,746,1,14
sphinx-doc__sphinx-10325,sphinx-doc/sphinx,,False,TESTS_FAIL,TESTS_FAIL,788,689,,,1474,1,5
sphinx-doc__sphinx-10451,sphinx-doc/sphinx,,False,EMPTY_PATCH,TESTS_FAIL,0,2057,,,1614,2,80
sphinx-doc__sphinx-11445,sphinx-doc/sphinx,,False,EMPTY_PATCH,EMPTY_PATCH,0,0,infra(pull),,1508,2,8
sphinx-doc__sphinx-7686,sphinx-doc/sphinx,,False,TESTS_FAIL,TESTS_FAIL,1873,767,,,2888,2,15
sphinx-doc__sphinx-7738,sphinx-doc/sphinx,,False,TESTS_FAIL,TESTS_FAIL,1084,613,,,563,1,30
sphinx-doc__sphinx-7975,sphinx-doc/sphinx,,False,TESTS_FAIL,EMPTY_PATCH,654,0,,,1713,1,7
sphinx-doc__sphinx-8273,sphinx-doc/sphinx,,False,TESTS_FAIL,SUITE_ERROR,2509,2173,,,1454,1,3
sphinx-doc__sphinx-8282,sphinx-doc/sphinx,,False,SUITE_ERROR,TESTS_FAIL,4315,2696,,,1737,1,16
sphinx-doc__sphinx-8435,sphinx-doc/sphinx,,False,TESTS_FAIL,TESTS_FAIL,1100,1521,,,1289,1,16
sphinx-doc__sphinx-8474,sphinx-doc/sphinx,,False,TESTS_FAIL,EMPTY_PATCH,1136,0,,,667,4,436
sphinx-doc__sphinx-8506,sphinx-doc/sphinx,,False,REGRESSION(P2P),TESTS_FAIL,439,1208,,,933,1,14
sphinx-doc__sphinx-8595,sphinx-doc/sphinx,,False,TESTS_FAIL,TESTS_FAIL,1209,1184,,,625,1,0
sphinx-doc__sphinx-8627,sphinx-doc/sphinx,,False,EMPTY_PATCH,TESTS_FAIL,0,3066,,,1113,2,17
sphinx-doc__sphinx-8713,sphinx-doc/sphinx,byllm+langgraph,False,RESOLVED,RESOLVED,876,1530,,,954,1,45
sphinx-doc__sphinx-8721,sphinx-doc/sphinx,,False,EMPTY_PATCH,TESTS_FAIL,0,517,,,573,1,3
sphinx-doc__sphinx-8801,sphinx-doc/sphinx,,False,TESTS_FAIL,TESTS_FAIL,3362,746,,,2137,1,8
sympy__sympy-11400,sympy/sympy,,False,TESTS_FAIL,SUITE_ERROR,1100,28342,,,898,2,29
sympy__sympy-11870,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,1307,389,,,1250,1,58
sympy__sympy-11897,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,505,582,,,664,1,95
sympy__sympy-12171,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,3573,862,,,554,1,8
sympy__sympy-12236,sympy/sympy,,False,EMPTY_PATCH,TESTS_FAIL,0,459,,,669,1,133
sympy__sympy-12419,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,651,490,,,1327,1,25
sympy__sympy-12454,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,449,449,,,774,2,134
sympy__sympy-12481,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,700,1172,,,760,1,7
sympy__sympy-13031,sympy/sympy,langgraph,True,TESTS_FAIL,RESOLVED,580,785,,,1047,1,9
sympy__sympy-13043,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,440,410,,,1118,1,1
sympy__sympy-13146,sympy/sympy,,False,EMPTY_PATCH,TESTS_FAIL,0,500,,,902,1,34
sympy__sympy-13177,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,549,563,,,551,2,76
sympy__sympy-13437,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,545,572,,,755,1,15
sympy__sympy-13471,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,564,564,,,747,1,82
sympy__sympy-13480,sympy/sympy,byllm+langgraph,False,RESOLVED,RESOLVED,590,590,,,556,1,43
sympy__sympy-13647,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,553,522,,,495,1,76
sympy__sympy-13773,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,1090,1090,,,882,1,69
sympy__sympy-13895,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,507,989,,,1104,2,82
sympy__sympy-13915,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,481,794,,,648,1,62
sympy__sympy-13971,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,1043,510,,,485,1,102
sympy__sympy-14024,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,643,623,,,1434,2,83
sympy__sympy-14308,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,1642,1053,,,3085,2,113
sympy__sympy-14317,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,513,1641,,,1824,2,116
sympy__sympy-14396,sympy/sympy,,False,TESTS_FAIL,SUITE_ERROR,12710,1314,,,1168,1,44
sympy__sympy-14774,sympy/sympy,byllm+langgraph,False,RESOLVED,RESOLVED,588,588,,,552,1,114
sympy__sympy-14817,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,562,554,,,573,1,111
sympy__sympy-15011,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,571,856,,,1780,1,53
