instance_id,repo,resolved_by,byllm_status,langgraph_status,byllm_patch_bytes,langgraph_patch_bytes,byllm_run_error,langgraph_run_error,gold_patch_bytes,gold_files,identical_patches
django__django-14672,django/django,byllm,RESOLVED,TESTS_FAIL,512,506,,,511,django/db/models/fields/reverse_related.py,False
django__django-15347,django/django,byllm,RESOLVED,TESTS_FAIL,1345,1188,,,659,django/contrib/messages/storage/cookie.py,False
django__django-15789,django/django,langgraph,SUITE_ERROR,RESOLVED,2621,1907,,,907,django/utils/html.py,False
django__django-15790,django/django,langgraph,TESTS_FAIL,RESOLVED,990,945,,,1371,django/core/checks/templates.py,False
matplotlib__matplotlib-23314,matplotlib/matplotlib,byllm,RESOLVED,SUITE_ERROR,1499,121727,,api-400,421,lib/mpl_toolkits/mplot3d/axes3d.py,False
matplotlib__matplotlib-24970,matplotlib/matplotlib,langgraph,TESTS_FAIL,RESOLVED,1228,757,,,1598,lib/matplotlib/colors.py,False
matplotlib__matplotlib-25311,matplotlib/matplotlib,langgraph,TESTS_FAIL,RESOLVED,8500,664,,,924,lib/matplotlib/offsetbox.py,False
matplotlib__matplotlib-26020,matplotlib/matplotlib,byllm,RESOLVED,TESTS_FAIL,835,776,,,1137,lib/mpl_toolkits/axes_grid1/axes_grid.py,False
psf__requests-2317,psf/requests,byllm,RESOLVED,TESTS_FAIL,1377,1377,timeout,timeout,763,requests/sessions.py,True
psf__requests-863,psf/requests,byllm,RESOLVED,TESTS_FAIL,1166,1027,,,525,requests/models.py,False
pylint-dev__pylint-5859,pylint-dev/pylint,byllm,RESOLVED,TESTS_FAIL,1999,500,,,612,pylint/checkers/misc.py,False
pytest-dev__pytest-5692,pytest-dev/pytest,langgraph,SUITE_ERROR,RESOLVED,912,649,,,675,src/_pytest/junitxml.py,False
pytest-dev__pytest-7373,pytest-dev/pytest,byllm,RESOLVED,SUITE_ERROR,753,1285,,,1486,src/_pytest/mark/evaluate.py,False
pytest-dev__pytest-7432,pytest-dev/pytest,byllm,RESOLVED,TESTS_FAIL,888,796,,,456,src/_pytest/skipping.py,False
pytest-dev__pytest-7490,pytest-dev/pytest,langgraph,TESTS_FAIL,RESOLVED,1109,485,,,1711,src/_pytest/skipping.py,False
scikit-learn__scikit-learn-13241,scikit-learn/scikit-learn,byllm,RESOLVED,REGRESSION(P2P),606,702,,,995,sklearn/decomposition/kernel_pca.py,False
scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,langgraph,EMPTY_PATCH,RESOLVED,0,525,infra(container),,502,sklearn/pipeline.py,False
scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,langgraph,TESTS_FAIL,RESOLVED,650,1175,,,1050,sklearn/svm/base.py,False
scikit-learn__scikit-learn-15512,scikit-learn/scikit-learn,langgraph,TESTS_FAIL,RESOLVED,732,1925,,,1348,sklearn/cluster/_affinity_propagation.py,False
sympy__sympy-13031,sympy/sympy,langgraph,TESTS_FAIL,RESOLVED,580,785,,,1047,sympy/matrices/sparse.py,False
sympy__sympy-15609,sympy/sympy,byllm,RESOLVED,TESTS_FAIL,532,80827,,,534,sympy/printing/latex.py,False
sympy__sympy-16792,sympy/sympy,byllm,RESOLVED,TESTS_FAIL,658,698,,,1793,sympy/utilities/codegen.py,False
sympy__sympy-20442,sympy/sympy,langgraph,TESTS_FAIL,RESOLVED,644,492,,,1025,sympy/physics/units/util.py,False
sympy__sympy-24152,sympy/sympy,langgraph,HARNESS_ERROR,RESOLVED,932,932,,,1075,sympy/physics/quantum/tensorproduct.py,True
sympy__sympy-24213,sympy/sympy,langgraph,SUITE_ERROR,RESOLVED,691,691,,,655,sympy/physics/units/unitsystem.py,True
